"event_datetime","humidity"
"2015-03-02 12:00:00",37.00623734
"2015-03-02 13:00:00",35.21462926
"2015-03-02 14:00:00",33.44148378
"2015-03-02 15:00:00",36.71299848
"2015-03-02 19:00:00",38.43933483
"2015-03-02 20:00:00",37.44428353
"2015-03-02 21:00:00",38.7390808
"2015-03-02 22:00:00",39.39926776
"2015-03-02 23:00:00",39.86118865
"2015-03-03 09:00:00",36.50658544
"2015-03-03 10:00:00",31.879411
"2015-03-03 11:00:00",28.25099548
"2015-03-03 12:00:00",26.70401103
"2015-03-03 13:00:00",23.85485527
"2015-03-03 14:00:00",23.22413464
"2015-03-03 15:00:00",23.94736987
"2015-03-03 16:00:00",25.28746329
"2015-03-03 17:00:00",27.78467727
"2015-03-03 18:00:00",29.79014263
"2015-03-03 19:00:00",30.91035689
"2015-03-03 20:00:00",31.13010942
"2015-03-03 21:00:00",31.23011527
"2015-03-03 22:00:00",31.7723505
"2015-03-03 23:00:00",32.8505411
"2015-03-04 00:00:00",36.11330679
"2015-03-04 11:00:00",35.12943656
"2015-03-04 12:00:00",31.844976
"2015-03-04 13:00:00",28.25350726
"2015-03-04 14:00:00",28.86881162
"2015-03-04 15:00:00",31.38331418
"2015-03-04 16:00:00",33.07804751
"2015-03-04 17:00:00",37.01978911
"2015-03-04 18:00:00",35.8046913
"2015-03-04 19:00:00",33.47328121
"2015-03-04 20:00:00",34.90846237
"2015-03-04 21:00:00",36.06361697
"2015-03-04 22:00:00",37.56444643
"2015-03-04 23:00:00",39.55582719
"2015-03-05 01:00:00",39.74863208
"2015-03-05 08:00:00",37.03127281
"2015-03-05 09:00:00",32.08977315
"2015-03-05 10:00:00",26.76421814
"2015-03-05 11:00:00",24.61929603
"2015-03-05 12:00:00",26.46581382
"2015-03-05 13:00:00",26.7467365
"2015-03-05 14:00:00",27.14813242
"2015-03-05 15:00:00",28.04856198
"2015-03-05 16:00:00",28.4700294
"2015-03-05 17:00:00",29.5604689
"2015-03-05 18:00:00",30.47449779
"2015-03-05 19:00:00",32.57075748
"2015-03-05 20:00:00",33.71640933
"2015-03-05 21:00:00",35.14340657
"2015-03-05 22:00:00",35.49775352
"2015-03-05 23:00:00",35.0331561
"2015-03-06 00:00:00",34.77908746
"2015-03-06 01:00:00",34.84651209
"2015-03-06 02:00:00",35.07828099
"2015-03-06 03:00:00",35.74120073
"2015-03-06 04:00:00",36.46327892
"2015-03-06 05:00:00",37.15052273
"2015-03-06 06:00:00",37.71243367
"2015-03-06 07:00:00",35.38375469
"2015-03-06 08:00:00",31.57137848
"2015-03-06 09:00:00",27.91553027
"2015-03-06 10:00:00",24.53285438
"2015-03-06 11:00:00",22.48683134
"2015-03-06 12:00:00",23.2535687
"2015-03-06 13:00:00",23.28027801
"2015-03-06 14:00:00",23.80973505
"2015-03-06 15:00:00",25.08565881
"2015-03-06 16:00:00",26.88735598
"2015-03-06 17:00:00",29.91783496
"2015-03-06 18:00:00",32.06339622
"2015-03-06 19:00:00",32.74350755
"2015-03-06 20:00:00",33.7214197
"2015-03-06 21:00:00",35.17498545
"2015-03-06 22:00:00",36.1277761
"2015-03-06 23:00:00",37.11869789
"2015-03-07 00:00:00",38.25667785
"2015-03-07 01:00:00",38.94992042
"2015-03-07 07:00:00",39.9157259
"2015-03-07 08:00:00",34.06571091
"2015-03-07 09:00:00",30.93050165
"2015-03-07 10:00:00",28.04635508
"2015-03-07 11:00:00",25.93832413
"2015-03-07 12:00:00",25.79539841
"2015-03-07 13:00:00",25.98361557
"2015-03-07 14:00:00",25.88303209
"2015-03-07 15:00:00",27.3595145
"2015-03-07 16:00:00",30.20677442
"2015-03-07 17:00:00",33.08727824
"2015-03-07 18:00:00",35.04700839
"2015-03-07 19:00:00",36.16977934
"2015-03-07 20:00:00",37.30262296
"2015-03-07 21:00:00",37.82587993
"2015-03-07 22:00:00",38.53940079
"2015-03-07 23:00:00",39.59680163
"2015-03-08 08:00:00",35.07866169
"2015-03-08 09:00:00",30.3531721
"2015-03-08 10:00:00",26.64166979
"2015-03-08 11:00:00",25.07542338
"2015-03-08 12:00:00",24.49371005
"2015-03-08 13:00:00",23.84224704
"2015-03-08 14:00:00",22.93580048
"2015-03-08 15:00:00",22.83526725
"2015-03-08 16:00:00",25.3967176
"2015-03-08 17:00:00",28.29383066
"2015-03-08 18:00:00",31.57863538
"2015-03-08 19:00:00",34.42735136
"2015-03-08 20:00:00",36.08416324
"2015-03-08 21:00:00",37.14337983
"2015-03-08 22:00:00",38.60976623
"2015-03-09 08:00:00",36.46700887
"2015-03-09 09:00:00",31.40561194
"2015-03-09 10:00:00",26.90488015
"2015-03-09 11:00:00",25.01636908
"2015-03-09 12:00:00",24.98281031
"2015-03-09 13:00:00",25.14879773
"2015-03-09 14:00:00",24.34625546
"2015-03-09 15:00:00",24.23456116
"2015-03-09 16:00:00",24.70684127
"2015-03-09 17:00:00",27.22595915
"2015-03-09 18:00:00",30.13290396
"2015-03-09 19:00:00",32.74491662
"2015-03-09 20:00:00",34.83740148
"2015-03-09 21:00:00",36.20863297
"2015-03-09 22:00:00",38.5697665
"2015-03-09 23:00:00",39.58266523
"2015-03-10 08:00:00",36.0076494
"2015-03-10 09:00:00",31.34054027
"2015-03-10 10:00:00",28.34806965
"2015-03-10 11:00:00",27.26168144
"2015-03-10 12:00:00",27.61264484
"2015-03-10 13:00:00",27.46737189
"2015-03-10 14:00:00",27.62064566
"2015-03-10 15:00:00",28.39801122
"2015-03-10 16:00:00",28.98724845
"2015-03-10 17:00:00",31.30535877
"2015-03-10 18:00:00",33.52263818
"2015-03-10 19:00:00",35.82343374
"2015-03-10 20:00:00",36.98782541
"2015-03-10 21:00:00",38.03061516
"2015-03-10 22:00:00",39.05233647
"2015-03-10 23:00:00",39.90269124
"2015-03-11 08:00:00",38.13537948
"2015-03-11 09:00:00",34.54998038
"2015-03-11 10:00:00",31.77775015
"2015-03-11 11:00:00",30.84264995
"2015-03-11 12:00:00",31.22001021
"2015-03-11 13:00:00",30.26574106
"2015-03-11 14:00:00",29.12129357
"2015-03-11 15:00:00",29.59950542
"2015-03-11 16:00:00",30.91220395
"2015-03-11 17:00:00",34.52940055
"2015-03-11 18:00:00",37.39987936
"2015-03-11 19:00:00",38.16285228
"2015-03-11 20:00:00",38.13785089
"2015-03-11 21:00:00",38.92023253
"2015-03-12 03:00:00",38.55177744
"2015-03-12 04:00:00",37.72234579
"2015-03-12 05:00:00",37.82033419
"2015-03-12 06:00:00",37.62244835
"2015-03-12 07:00:00",34.14083686
"2015-03-12 08:00:00",30.72456023
"2015-03-12 09:00:00",28.10240152
"2015-03-12 10:00:00",25.86080177
"2015-03-12 11:00:00",22.97329268
"2015-03-12 12:00:00",21.7369569
"2015-03-12 13:00:00",20.5237935
"2015-03-12 14:00:00",18.95256678
"2015-03-12 15:00:00",19.51638497
"2015-03-12 16:00:00",20.97255924
"2015-03-12 17:00:00",24.75992018
"2015-03-12 18:00:00",27.4242278
"2015-03-12 19:00:00",28.08559726
"2015-03-12 20:00:00",29.05584424
"2015-03-12 21:00:00",30.33841166
"2015-03-12 22:00:00",31.42982435
"2015-03-12 23:00:00",33.5716414
"2015-03-13 00:00:00",35.46150661
"2015-03-13 01:00:00",35.78792647
"2015-03-13 02:00:00",36.89142845
"2015-03-13 03:00:00",38.82149976
"2015-03-13 04:00:00",39.89462141
"2015-03-13 06:00:00",39.89725225
"2015-03-13 07:00:00",35.56461548
"2015-03-13 08:00:00",31.67883409
"2015-03-13 09:00:00",28.70269236
"2015-03-13 10:00:00",26.87991179
"2015-03-13 11:00:00",24.77148185
"2015-03-13 12:00:00",24.0251204
"2015-03-13 13:00:00",23.92006805
"2015-03-13 14:00:00",23.63611948
"2015-03-13 15:00:00",25.10720761
"2015-03-13 16:00:00",28.47817869
"2015-03-13 17:00:00",30.85998621
"2015-03-13 18:00:00",31.67687394
"2015-03-13 19:00:00",32.86499037
"2015-03-13 20:00:00",34.50338315
"2015-03-13 21:00:00",36.64739224
"2015-03-13 22:00:00",38.4587033
"2015-03-13 23:00:00",38.72132423
"2015-03-14 00:00:00",39.48010871
"2015-03-14 01:00:00",39.90268548
"2015-03-14 08:00:00",36.46261272
"2015-03-14 09:00:00",33.07223901
"2015-03-14 10:00:00",31.10159486
"2015-03-14 11:00:00",31.03899836
"2015-03-14 12:00:00",31.28038862
"2015-03-14 13:00:00",30.40540328
"2015-03-14 14:00:00",30.28787708
"2015-03-14 15:00:00",29.66738779
"2015-03-14 16:00:00",29.61654751
"2015-03-14 17:00:00",33.47951234
"2015-03-14 18:00:00",35.55449049
"2015-03-14 19:00:00",35.68569723
"2015-03-14 20:00:00",36.63155667
"2015-03-14 21:00:00",37.89261148
"2015-03-14 22:00:00",38.68742979
"2015-03-14 23:00:00",38.36312549
"2015-03-15 00:00:00",38.86263937
"2015-03-15 10:00:00",38.83348452
"2015-03-15 11:00:00",34.91155862
"2015-03-15 12:00:00",33.96328568
"2015-03-15 13:00:00",34.72289241
"2015-03-15 14:00:00",36.53925815
"2015-03-15 15:00:00",37.62998087
"2015-03-15 16:00:00",38.42488049
"2015-03-15 17:00:00",39.20408368
"2015-03-16 09:00:00",34.25935026
"2015-03-16 10:00:00",29.6789954
"2015-03-16 11:00:00",27.12406036
"2015-03-16 12:00:00",27.1801661
"2015-03-16 13:00:00",27.07569105
"2015-03-16 14:00:00",27.45368982
"2015-03-16 15:00:00",29.81107924
"2015-03-16 16:00:00",31.36329748
"2015-03-16 17:00:00",33.11987201
"2015-03-16 18:00:00",35.57122814
"2015-03-16 19:00:00",35.94691186
"2015-03-16 20:00:00",37.02235932
"2015-03-16 21:00:00",37.71422649
"2015-03-16 22:00:00",39.32336327
"2015-03-17 08:00:00",39.75972434
"2015-03-17 09:00:00",33.85712095
"2015-03-17 10:00:00",30.48780146
"2015-03-17 11:00:00",27.19478093
"2015-03-17 12:00:00",26.46164697
"2015-03-17 13:00:00",26.3055314
"2015-03-17 14:00:00",25.14013502
"2015-03-17 15:00:00",24.97213873
"2015-03-17 16:00:00",26.3691597
"2015-03-17 17:00:00",29.99849232
"2015-03-17 18:00:00",34.61021942
"2015-03-17 19:00:00",36.31738119
"2015-03-17 20:00:00",37.68737388
"2015-03-17 21:00:00",39.51429175
"2015-03-18 08:00:00",35.86790385
"2015-03-18 09:00:00",32.43346425
"2015-03-18 10:00:00",28.86886965
"2015-03-18 11:00:00",26.5112056
"2015-03-18 12:00:00",24.92521805
"2015-03-18 13:00:00",22.98157352
"2015-03-18 14:00:00",22.51519883
"2015-03-18 15:00:00",23.52899065
"2015-03-18 16:00:00",25.13110687
"2015-03-18 17:00:00",28.90737506
"2015-03-18 18:00:00",33.55202239
"2015-03-18 19:00:00",34.52814289
"2015-03-18 20:00:00",35.39222335
"2015-03-18 21:00:00",36.87626239
"2015-03-18 22:00:00",38.24561184
"2015-03-18 23:00:00",39.35487591
"2015-03-19 08:00:00",36.12188713
"2015-03-19 09:00:00",32.92044341
"2015-03-19 10:00:00",29.90548211
"2015-03-19 11:00:00",28.3560647
"2015-03-19 12:00:00",27.86640458
"2015-03-19 13:00:00",27.15280259
"2015-03-19 14:00:00",25.92750243
"2015-03-19 15:00:00",25.37910028
