"event_datetime","city","temperature","light","airquality_raw","sound","humidity","dust"
"2015-03-17 02:00:00","Shanghai",21.61665862,3102.808658,35.92356649,1765.384291,61.13431814,1351.614166
"2015-03-17 03:00:00","Shanghai",24.53313432,3747.786764,36.48266809,1813.101078,53.62817256,1417.068003
"2015-03-17 04:00:00","Shanghai",26.16676861,3570.326938,36.96165525,1815.893136,51.58815515,1289.357315
"2015-03-17 05:00:00","Shanghai",26.18606905,3183.19597,35.90285975,1838.95288,52.08198588,1260.049939
"2015-03-17 06:00:00","Shanghai",26.33501077,2523.240737,36.47602837,1820.635187,52.42217518,1376.954181
"2015-03-17 07:00:00","Shanghai",25.91558374,1529.082757,37.12320401,1760.306259,52.96740634,1408.867766
"2015-03-17 08:00:00","Shanghai",24.65043103,563.1821988,37.08659726,1704.382981,55.44088266,1458.645471
"2015-03-17 09:00:00","Shanghai",23.42670796,103.7291198,38.46640706,1749.907168,58.69485621,1562.367738
"2015-03-17 10:00:00","Shanghai",22.38923537,2.153119293,39.78915616,1768.164548,61.5330017,1650.131323
"2015-03-17 11:00:00","Shanghai",22.32674075,0.842037528,43.45400664,1738.850724,60.96811253,1462.340886
"2015-03-17 12:00:00","Shanghai",21.75000207,0.70293656,44.3049458,1764.495652,61.81659101,1242.53094
"2015-03-17 13:00:00","Shanghai",21.31043413,0.615536015,42.46843348,1723.11147,62.91797254,1220.811759
"2015-03-17 14:00:00","Shanghai",21.16559906,0.274457216,41.25003617,1685.089392,63.39852627,1251.526984
"2015-03-17 15:00:00","Shanghai",21.10445168,0.211989144,40.98746869,1698.121573,63.19592995,1308.26046
"2015-03-17 16:00:00","Shanghai",20.70065662,0.033317144,41.42498715,1666.786354,65.34721111,1302.180452
"2015-03-17 17:00:00","Shanghai",20.3051555,0.351872127,39.0966883,1621.827954,68.20552984,1289.061682
"2015-03-17 18:00:00","Shanghai",19.90488717,0.136081959,37.80648206,1640.102574,73.5684767,1236.858652
"2015-03-17 19:00:00","Shanghai",20.50149431,0,38.40748753,1643.660493,73.77633245,1114.936031
"2015-03-17 20:00:00","Shanghai",20.64677626,0,39.26168868,1622.50517,74.89241268,1035.719379
"2015-03-17 21:00:00","Shanghai",21.02721176,0.510883621,41.04566892,1622.689239,74.64729501,989.4437847
"2015-03-17 22:00:00","Shanghai",21.33512411,27.28354626,43.12814167,1615.792312,73.84189907,1133.807126
"2015-03-17 23:00:00","Shanghai",21.15759958,131.3425165,46.13976895,1650.684535,73.26632558,1290.552281
"2015-03-18 00:00:00","Shanghai",20.8260748,325.7136877,45.43404026,1704.014404,71.94361524,1617.27318
"2015-03-18 01:00:00","Shanghai",20.70322339,604.5075404,45.3241106,1707.939274,70.20367395,1780.80731
"2015-03-18 02:00:00","Shanghai",20.96434605,952.3184274,42.96652264,1760.457338,65.48723983,1827.131276
"2015-03-18 03:00:00","Shanghai",21.40388325,1658.120318,40.14566325,1784.142862,60.87383563,1806.419626
"2015-03-18 04:00:00","Shanghai",22.08623586,1628.18435,38.09134999,1751.491137,56.9576771,1684.623496
"2015-03-18 05:00:00","Shanghai",22.29808364,1646.876399,37.56617433,1761.276854,54.98208011,1751.037412
"2015-03-18 06:00:00","Shanghai",21.7175829,989.5433225,36.85553484,1757.306712,54.69137487,1847.394828
"2015-03-18 07:00:00","Shanghai",21.18394382,569.3008409,36.65002118,1714.691826,54.85694357,1881.870581
"2015-03-18 08:00:00","Shanghai",20.54127159,184.5454478,37.52400971,1728.010295,55.65086711,2032.196745
"2015-03-18 09:00:00","Shanghai",19.73816025,61.01821625,37.92739116,1707.673109,56.57226765,2230.720826
"2015-03-18 10:00:00","Shanghai",19.23019462,1.090095785,38.05709798,1660.730765,57.24787655,2102.573617
"2015-03-18 11:00:00","Shanghai",18.57584423,0,34.06937193,1610.396241,61.34158399,1756.963626
"2015-03-18 12:00:00","Shanghai",17.74185108,1.024701159,33.51368499,1643.247464,65.39545031,1240.916185
"2015-03-18 13:00:00","Shanghai",17.12965538,0.398368298,33.22829969,1614.455405,65.87237623,953.7870688
"2015-03-18 14:00:00","Shanghai",16.8466381,0,33.2912784,1605.873831,65.20858861,976.6565773
"2015-03-18 15:00:00","Shanghai",16.50186103,0,32.2136814,1600.353585,65.40760235,1028.32007
"2015-03-18 16:00:00","Shanghai",16.19904596,0,32.48268448,1609.231219,65.30018264,1129.774181
"2015-03-18 17:00:00","Shanghai",16.25469912,0,32.32930998,1602.505735,64.51441883,1175.715113
"2015-03-18 18:00:00","Shanghai",16.11504082,0,32.1854798,1604.686275,64.60375722,1369.421312
"2015-03-18 19:00:00","Shanghai",16.25978098,0,32.49395271,1540.048532,64.45302115,1694.59226
"2015-03-18 20:00:00","Shanghai",16.26949401,0,33.50254321,1547.187189,64.69631626,2117.988913
"2015-03-18 21:00:00","Shanghai",16.44111583,0.794937307,34.775085,1523.947024,64.39078422,2416.534665
"2015-03-18 22:00:00","Shanghai",16.60419007,76.75059466,35.16450121,1533.444212,62.78459674,2474.715486
"2015-03-18 23:00:00","Shanghai",16.77806161,436.3768234,36.37141172,1579.439561,59.96234378,2424.889261
"2015-03-19 00:00:00","Shanghai",17.26093119,947.8035361,35.00382347,1566.242033,56.92644271,2344.358788
"2015-03-19 01:00:00","Shanghai",18.41427379,1642.41268,33.09494648,1567.169119,53.43498794,2214.242224
"2015-03-19 02:00:00","Shanghai",19.92114497,2799.334448,36.12723017,1705.280392,50.06408361,1945.821584
"2015-03-19 03:00:00","Shanghai",21.19787453,4159.505975,35.64056516,1730.660639,47.84275261,2037.453703
"2015-03-19 04:00:00","Shanghai",22.92035307,5257.736795,38.0948925,1752.739169,45.77353614,1861.773733
"2015-03-19 05:00:00","Shanghai",23.47952556,3605.93206,36.60833098,1736.803469,44.56791184,2064.585507
"2015-03-19 06:00:00","Shanghai",23.19099588,2219.296875,34.69323444,1688.416744,45.05974959,2114.242104
"2015-03-19 07:00:00","Shanghai",22.53424262,2193.748151,34.65250042,1661.246214,45.87483571,2101.369585
"2015-03-19 08:00:00","Shanghai",21.8027382,948.0330628,35.26141253,1672.021434,47.23478426,1923.421314
"2015-03-19 09:00:00","Shanghai",20.82104606,172.9036944,35.24612584,1701.618678,49.53917612,1917.933223
"2015-03-19 10:00:00","Shanghai",20.67159026,3.133142106,35.59038403,1713.363654,49.85637539,2166.928475
"2015-03-19 11:00:00","Shanghai",20.31841924,0.038916167,36.05686549,1648.459666,49.87706614,2123.12396
"2015-03-19 12:00:00","Shanghai",19.67937137,0,35.0147516,1631.200991,50.4378856,2150.574126
"2015-03-19 13:00:00","Shanghai",19.3236277,0.096551724,33.7731645,1626.573602,49.91763411,2027.354541
"2015-03-19 14:00:00","Shanghai",19.25373146,0,31.79804865,1600.719194,47.59536493,1963.656513
"2015-03-19 15:00:00","Shanghai",19.08903419,0,31.8136273,1646.996703,46.2016062,1880.385203
"2015-03-19 16:00:00","Shanghai",18.7181965,0,31.0812168,1628.37766,45.61516008,1845.105063
"2015-03-19 17:00:00","Shanghai",18.26184732,0,30.07731675,1591.250635,45.70557185,1938.367211
"2015-03-19 18:00:00","Shanghai",17.59198739,0,29.72882987,1595.504364,49.68254914,1985.432909
"2015-03-19 19:00:00","Shanghai",17.11852648,0,29.50734816,1583.686142,52.68263054,2005.550817
"2015-03-19 20:00:00","Shanghai",16.45405589,0,29.86239772,1622.642066,56.42248543,1924.928732
"2015-03-19 21:00:00","Shanghai",15.8608408,0.245732955,29.89155719,1592.650646,61.28397076,1818.823464
"2015-03-19 22:00:00","Shanghai",15.45484903,54.07899335,30.86239313,1569.47997,66.4610093,1624.824132
"2015-03-19 23:00:00","Shanghai",15.81656056,145.4460304,31.50576264,1553.831391,65.01582283,1641.412898
"2015-03-20 00:00:00","Shanghai",15.52473085,165.1258451,30.99631842,1598.330252,63.98289844,1818.356359
"2015-03-20 01:00:00","Shanghai",15.55871048,374.3689816,30.83736135,1632.791165,61.6451205,1920.714709
"2015-03-20 02:00:00","Shanghai",16.123542,737.3034138,31.25143184,1656.658472,58.81762887,1906.034617
"2015-03-20 03:00:00","Shanghai",17.13319254,1166.849675,31.71023254,1674.424619,55.98820245,1841.160091
"2015-03-20 04:00:00","Shanghai",18.01737049,1447.99017,31.97314095,1692.51282,53.37904204,1816.565028
"2015-03-20 05:00:00","Shanghai",19.14322327,1725.860947,33.1606577,1699.415259,50.55416406,1838.212161
"2015-03-20 06:00:00","Shanghai",19.6207046,1169.696309,33.42059061,1682.151844,49.65544392,1709.182999
"2015-03-20 07:00:00","Shanghai",19.91402341,535.7959166,35.30447615,1650.231954,49.35810776,1658.292875
"2015-03-20 08:00:00","Shanghai",19.48066745,187.6099744,36.07011522,1660.06725,50.84203976,1793.0855
"2015-03-20 09:00:00","Shanghai",18.36050294,52.45062404,34.28705099,1641.41372,54.22353506,1811.862266
"2015-03-20 10:00:00","Shanghai",17.81785721,0.397037037,34.11597618,1672.869535,56.19937294,1719.797816
"2015-03-20 11:00:00","Shanghai",17.02254179,0.0125,33.71148859,1669.69863,61.04931404,1705.685332
"2015-03-20 12:00:00","Shanghai",16.36662665,0.071617451,32.72456943,1676.998432,60.96110957,1714.912399
"2015-03-20 13:00:00","Shanghai",16.54570679,0.214981685,32.08987824,1637.255535,58.0249798,1554.323944
"2015-03-20 14:00:00","Shanghai",16.69598625,0.059830576,32.36852523,1628.886146,56.83857795,1466.648665
"2015-03-20 15:00:00","Shanghai",16.34688176,0,31.49629795,1624.399554,57.14729512,1451.620678
"2015-03-20 16:00:00","Shanghai",16.65565125,0.042361111,32.18199296,1610.488226,55.9054618,1461.332013
"2015-03-20 17:00:00","Shanghai",16.68274601,0,32.9932238,1617.356967,56.84805591,1569.792841
"2015-03-20 18:00:00","Shanghai",16.88142626,0,34.71722556,1617.294376,57.83811025,1640.713938
"2015-03-20 19:00:00","Shanghai",16.99134692,0,36.01825039,1608.481325,59.25011653,1713.510011
"2015-03-20 20:00:00","Shanghai",17.11256869,0,37.06604305,1571.042376,59.02155753,1779.722527
"2015-03-20 21:00:00","Shanghai",17.18507485,3.212165791,38.32894009,1555.758875,59.25160478,1850.400832
"2015-03-20 22:00:00","Shanghai",17.25270705,131.4396552,39.62931412,1537.495248,59.81405692,2028.167695
"2015-03-20 23:00:00","Shanghai",17.69071839,440.1843835,40.16233026,1545.72921,59.06344396,2198.053703
"2015-03-21 00:00:00","Shanghai",18.2134166,935.9941141,40.53831826,1587.081421,58.07078774,2400.834506
"2015-03-21 01:00:00","Shanghai",20.50457618,3549.186242,43.59595629,1619.74476,52.55510916,2302.224445
"2015-03-21 02:00:00","Shanghai",24.11884687,4336.571402,44.75850458,1699.027376,44.24097341,2312.299816
"2015-03-21 03:00:00","Shanghai",25.02284147,2820.476294,45.04707471,1725.152421,42.04935502,2720.046185
"2015-03-21 04:00:00","Shanghai",25.0955084,2728.278934,43.02455521,1731.374009,39.89483816,2622.50631
"2015-03-21 05:00:00","Shanghai",25.71129379,2562.315822,39.61124666,1737.812458,36.75221077,2344.99303
"2015-03-21 06:00:00","Shanghai",25.59323855,1862.744244,38.10965109,1718.034778,35.67653988,2155.624524
"2015-03-21 07:00:00","Shanghai",25.32862998,1260.817527,37.04725731,1747.484909,35.26752448,2144.03995
"2015-03-21 08:00:00","Shanghai",24.43618549,669.8658687,38.97710532,1752.269402,37.95142549,1681.97852
"2015-03-21 09:00:00","Shanghai",23.51417664,181.5261355,41.48145109,1721.983075,41.80079149,1856.791032
"2015-03-21 10:00:00","Shanghai",22.39696546,9.431864968,44.0739471,1708.868614,45.14750186,2206.810103
"2015-03-21 11:00:00","Shanghai",21.12867069,6.434721919,46.38878818,1702.8076,49.70213627,2760.798922
"2015-03-21 12:00:00","Shanghai",20.75938848,1.570634921,47.99905039,1672.659992,52.39193098,2622.669229
"2015-03-21 13:00:00","Shanghai",20.53724537,0.432887267,47.64228247,1646.898983,52.93307727,2818.957829
"2015-03-21 14:00:00","Shanghai",20.21238502,0.79035985,47.66676356,1632.383549,53.88370019,3058.31213
"2015-03-21 15:00:00","Shanghai",19.84813161,0.7,49.28042372,1638.730408,55.43686848,2386.472773
"2015-03-21 16:00:00","Shanghai",19.56716718,0.356257982,50.36889598,1635.312007,56.13668265,2303.228745
"2015-03-21 17:00:00","Shanghai",19.31829205,0,47.88073189,1658.237942,56.35467907,2141.80197
"2015-03-21 18:00:00","Shanghai",19.06465044,0,47.26635362,1616.631245,56.63691157,2107.953952
"2015-03-21 19:00:00","Shanghai",18.82922355,0,48.02518322,1621.438956,57.45155433,2211.986563
"2015-03-21 20:00:00","Shanghai",18.56735461,0,46.59713168,1574.374724,58.21687967,2115.359372
"2015-03-21 21:00:00","Shanghai",18.25121676,5.044473761,44.15479136,1578.999566,56.14065351,2025.150353
"2015-03-21 22:00:00","Shanghai",18.21605631,271.7334368,38.60922356,1562.093641,47.48950277,1765.378115
"2015-03-21 23:00:00","Shanghai",19.79783022,1405.456015,33.39987053,1552.656048,36.80087762,1592.619954
"2015-03-22 00:00:00","Shanghai",21.72475399,3200.80564,28.50865234,1647.049397,25.58979929,1391.406039
"2015-03-22 01:00:00","Shanghai",23.77914134,4004.521964,26.0279408,1691.331029,19.64434138,1316.037877
"2015-03-22 02:00:00","Shanghai",25.98418569,4584.328928,25.09934017,1781.538411,16.50226672,1243.607468
"2015-03-22 03:00:00","Shanghai",26.63377056,4400.037727,25.40540685,1735.475006,15.97015263,1339.710199
"2015-03-22 04:00:00","Shanghai",27.36501019,4516.665103,26.02152066,1765.287678,17.18877558,1340.453313
"2015-03-22 05:00:00","Shanghai",27.57631213,3526.278124,26.15187834,1751.582842,17.12810108,1378.142404
"2015-03-22 06:00:00","Shanghai",25.79305916,1951.700452,25.72132338,1745.98542,17.82230264,1380.989636
"2015-03-22 07:00:00","Shanghai",24.15682839,1316.438197,24.92163547,1750.049101,18.39857034,1249.652506
"2015-03-22 08:00:00","Shanghai",22.7111535,759.5805862,23.77059166,1756.750246,17.66112917,1180.430447
"2015-03-22 09:00:00","Shanghai",21.38300169,225.6557966,23.27983693,1747.566488,17.37697644,1127.773862
"2015-03-22 10:00:00","Shanghai",20.23367188,7.514135389,24.02354306,1724.017608,19.54412938,1150.64607
"2015-03-22 11:00:00","Shanghai",19.29417862,0.941240296,25.34682634,1723.606574,23.53075839,1195.027093
"2015-03-22 12:00:00","Shanghai",18.43217115,0.766658495,26.6096252,1730.013736,29.05864921,1270.785431
"2015-03-22 13:00:00","Shanghai",17.81951116,0.253347689,26.41377917,1715.696476,31.09260131,1186.68616
